company,job-title,level,sql,python,excel, r ,", r,",tableau,power bi, ml ,", ml,",machine learning,remote,da,ds,country
Machine Learning Reply GmbH,Machine Learning Engineer (m/f/d),Mid-Senior level,1,1,1,0,0,0,0,1,0,1,1,0,1,ger
super.AI,Machine Learning Engineer,Mid-Senior level,0,1,0,0,0,0,0,0,0,1,0,0,1,ger
alcemy,Senior Machine Learning Engineer,Mid-Senior level,1,1,1,0,0,0,0,1,0,1,1,0,1,ger
SAM-DIMENSION,ML Data Scientist (m/w/x) Vollzeit,Entry level,0,1,0,0,0,0,0,1,0,1,1,0,1,ger
Enjins,Lead Machine Learning Engineer (Berlin),Mid-Senior level,0,0,0,0,0,0,0,1,0,1,0,0,1,ger
Omnicom Media Group,Data Scientist (f/m/d),Not Applicable,1,1,0,0,0,0,0,1,0,1,0,0,1,ger
SR2 | Socially Responsible Recruitment | Certified B Corporation™,Senior Data Scientist,Mid-Senior level,0,1,1,0,0,0,0,0,0,0,0,0,1,ger
Seedbox Ventures,AI Engineer (all genders),Mid-Senior level,0,1,1,0,0,0,0,0,0,1,1,0,1,ger
Livello Technologies,Data Science / Machine Learning (m/f/d) Mandatory Internship - IoT Startup,Internship,0,1,0,0,0,0,0,1,0,1,0,0,1,ger
Cyber Insight,Developer AI / Data Science (m/f/d),Mid-Senior level,0,1,1,0,0,0,0,0,0,0,0,0,1,ger
IC Resources,Machine Learning Engineer (Audio),Mid-Senior level,0,0,1,0,0,0,0,0,0,1,0,0,1,ger
HENSOLDT Analytics,AI Scientist/NLP Researcher (m/w/d),Entry level,0,1,0,0,0,0,0,0,0,0,0,0,1,ger
Omnicom Media Group,Data Scientist (f/m/d),Not Applicable,1,1,0,0,0,0,0,1,0,1,0,0,1,ger
Omnicom Media Group,Data Scientist (f/m/d),Not Applicable,1,1,0,0,0,0,0,1,0,1,0,0,1,ger
niologic GmbH,ML Engineer (m/w/d),Mid-Senior level,1,1,0,0,0,0,0,1,0,1,1,0,1,ger
Omnicom Media Group,Data Scientist (f/m/d),Not Applicable,1,1,0,0,0,0,0,1,0,1,0,0,1,ger
